date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2018-07-31,1.1674,1.1791,1.1574,1.1686,0.1105,1.8732,0.5189,1.8551,0.0595
2018-08-31,1.1686,1.1733,1.13,1.1599,-0.747,3.8363,0.6897,3.7374,-0.2014
2018-09-28,1.1597,1.1815,1.1525,1.16,0.0224,2.5189,0.2584,2.5026,0.009
2018-10-31,1.1605,1.1625,1.13,1.1317,-2.4809,2.8726,0.0518,2.8683,-0.8869
2018-11-30,1.1317,1.15,1.1214,1.1319,0.0194,2.5477,0.3682,2.524,0.0077
2018-12-31,1.1332,1.1486,1.1268,1.1466,1.1852,1.9338,0.9087,1.9004,0.6163
2019-01-31,1.1465,1.157,1.1288,1.1446,-0.1666,2.4965,0.5603,2.462,-0.0678
2019-02-28,1.1446,1.1488,1.1233,1.1371,-0.6553,2.2745,0.5397,2.247,-0.2935
2019-03-29,1.1371,1.1448,1.1175,1.1217,-1.3535,2.4447,0.1537,2.4356,-0.5633
2019-04-30,1.1222,1.1324,1.1109,1.1211,-0.0971,1.9345,0.4742,1.9169,-0.0507
2019-05-31,1.1211,1.1265,1.1106,1.1169,-0.3791,1.4299,0.3942,1.4218,-0.2676
2019-06-28,1.1172,1.1412,1.1159,1.1373,1.8055,2.269,0.8464,2.2263,0.7966
2019-07-31,1.1368,1.1371,1.1059,1.1079,-2.5465,2.8221,0.0641,2.817,-0.9276
2019-08-30,1.1079,1.125,1.0961,1.0989,-0.8123,2.633,0.097,2.6263,-0.3119
2019-09-30,1.0992,1.111,1.0884,1.0898,-0.8524,2.0728,0.0634,2.07,-0.4153
2019-10-31,1.0898,1.1183,1.0878,1.1151,2.3214,2.8038,0.8964,2.7351,0.8295
2019-11-29,1.1152,1.1176,1.098,1.1017,-1.2043,1.7805,0.1908,1.7745,-0.687
2019-12-31,1.1021,1.1239,1.1001,1.1213,1.7421,2.1662,0.8892,2.1252,0.8057
2020-01-31,1.1212,1.1224,1.0991,1.1092,-1.0756,2.1245,0.4313,2.1052,-0.5165
2020-02-28,1.1084,1.1091,1.0777,1.1029,-0.5007,2.9136,0.8022,2.8471,-0.1768
2020-03-31,1.1046,1.1496,1.0636,1.1023,-0.2082,8.0867,0.4499,7.8028,-0.0267
2020-04-30,1.1023,1.1037,1.0725,1.0943,-0.7258,2.9128,0.6978,2.8548,-0.2561
2020-05-29,1.0943,1.1145,1.0764,1.1107,1.4978,3.5414,0.8995,3.4321,0.43
2020-06-30,1.1111,1.1422,1.1099,1.1235,1.116,2.9147,0.4204,2.8794,0.3833
2020-07-31,1.1234,1.1909,1.1184,1.1771,4.7764,6.4807,0.8099,6.1575,0.7403
2020-08-31,1.1794,1.1966,1.1694,1.1937,1.209,2.3268,0.8931,2.2795,0.5241
2020-09-30,1.1937,1.2011,1.1611,1.1722,-1.7994,3.4485,0.278,3.4157,-0.5365
2020-10-30,1.1723,1.1881,1.1638,1.1646,-0.6611,2.0854,0.0326,2.084,-0.3193
2020-11-30,1.1647,1.2003,1.1602,1.1924,2.3791,3.4589,0.8036,3.3653,0.6905
